track_name,artist_name,streams,danceability_pct,energy_pct
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,350381515,63,73
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",349746291,81,83
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",349585590,60,47
"You're On Your Own, Kid",Taylor Swift,348647203,69,39
this is what falling in love feels like,JVKE,346127840,42,44
The Feels,TWICE,345903614,81,90
CHORRITO PA LAS ANIMAS,Feid,345031710,74,83
Andrea,"Buscabulla, Bad Bunny",344055883,80,62
she's all i wanna be,Tate McRae,343197054,61,64
Nonsense,Sabrina Carpenter,342897938,74,68
Super Gremlin,Kodak Black,342779426,83,41
Demasiadas Mujeres,C. Tangana,339473453,67,46
TV,Billie Eilish,338564981,41,25
Dos Mil 16,Bad Bunny,338422004,82,67
Classy 101,"Feid, Young Miko",335222234,86,66
Players,Coi Leray,335074782,95,52
Music For a Sushi Restaurant,Harry Styles,334733572,72,72
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",333146475,80,85
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,332506354,64,72
cï¿½ï¿½mo dormi,Rels B,331511413,63,43
Run BTS,BTS,330881149,72,82
Por las Noches,Peso Pluma,330346424,81,60
Bejeweled,Taylor Swift,328207708,70,56
